"asc_a","asc_b","b_tt_pt_business","b_tt_pt_commuters","b_tt_pt_leisure","b_tt_pt_shopping","b_tt_car_business","b_tt_car_commuters","b_tt_car_leisure","b_tt_car_shopping","b_dc","b_tc_business","b_tc_commuters","b_tc_leisure","b_tc_shopping","b_ic_business","b_ic_commuters","b_ic_leisure","b_ic_shopping","b_hw_business","b_hw_commuters","b_hw_leisure","b_hw_shopping","b_bus_commuters","b_bus_leisure","b_bus_shopping","b_rail_business","b_rail_commuters","b_rail_leisure","b_rail_shopping","b_car_inertia","b_car_available","b_car_male","b_bus_disc","b_rail_disc","b_bus_ga","b_rail_ga","mu_mc_car_bus","mu_mc_car_rail","mu_rc_bus","mu_rc_car","mu_rc_rail_by_car","mu_rc_rail","logLike"
0,-0.00320520765416293,-0.0777094622726715,-0.103089540381041,-0.0332705888056451,-0.0873694047788281,-0.0669936464825138,-0.141844966633871,-0.0400090960934537,-0.110078077511262,-0.0474310843275572,-0.0981894738665733,-0.239486495155611,-0.0656341293568216,-0.217639339173317,-1.01172188056924,-1.28196459379619,-1.02277116984189,-1.18109349929612,-0.00253324924355594,-0.0835466040147185,-0.00900534955358264,-0.0589103726755097,2.95038322594503,-1.05642588167906,2.4377745131947,1.49418569854703,1.3295582280582,0.30728148190897,1.20576248025466,1.94007996556087,0.564804639778753,-0.356471625803759,1.23401842495563,1.726529471841,3.6594255078637,1.73574015058548,0.388760767959617,0.574124916558592,0.731453528399659,1.22812528767421,0.74917616018786,1,-8071.413812383
0,-0.00331754597817206,-0.0761903967377313,-0.101389758958437,-0.0332041463276544,-0.0828580927869869,-0.0667981555518509,-0.138090884088525,-0.0396022014505722,-0.108133912845075,-0.0445911210265769,-0.0984038872862056,-0.238080624427427,-0.0653418099283746,-0.212954727883825,-1.01061272242979,-1.27467290634101,-1.01705265708025,-1.17652839831824,-0.00675699304121865,-0.0825283915202455,-0.00802106020223261,-0.0561988212689545,2.95079143844038,-1.05407557838212,2.438457026407,1.49407315751609,1.32938056447323,0.308422168230229,1.20549954086197,1.94170969263163,0.563403471004351,-0.35795283695123,1.23616327196981,1.72803224316386,3.65989875481019,1.73654221314742,0.388062786610924,0.57542415879156,0.718638317434724,1.2284359810602,0.749477097096581,1,-8069.02226400252
0,-0.0037832161141933,-0.0774470606564204,-0.101229103111848,-0.0332850113389006,-0.0759493611875001,-0.0700338815334435,-0.136891377373164,-0.0394665477093298,-0.103625810827856,-0.0479328665116613,-0.102218831560874,-0.234863997206751,-0.0656288030464247,-0.211226832584416,-1.00861800939548,-1.26462886988839,-1.01112906711636,-1.17028294859475,-0.0142812861357692,-0.0817742519964458,-0.00845100992391685,-0.0626876267550068,2.95140518137837,-1.05023687070947,2.43954389212702,1.49388380358977,1.3291005309121,0.310401872862126,1.20480442148737,1.94414222872486,0.561163315168006,-0.360158792620395,1.23961010499243,1.73019148112856,3.66067502414726,1.73779668074077,0.387677224417774,0.574839619147684,0.70169337882182,1.22967018978291,0.752611204379848,1,-8066.62739113102
0,-0.00455614852580946,-0.0941088046404445,-0.102948239589064,-0.0340279078459949,-0.0768228904646152,-0.0876269071595959,-0.148801684705209,-0.0407617481195092,-0.0953122728491589,-0.0438139067009754,-0.123488315209155,-0.225348070141124,-0.0684088652241557,-0.218593215807761,-1.00012378274439,-1.2345938817194,-1.00240503371181,-1.15001655933992,-0.0142639669514054,-0.0901051274704353,-0.00958991062114058,-0.0564873466779382,2.95352073955713,-1.03558632016382,2.44365838104175,1.49353462633114,1.32785061847871,0.318402246494968,1.20255022993152,1.9516400900226,0.551755175663214,-0.368824140785629,1.25258263645396,1.73802369323094,3.66365888977851,1.74281147323334,0.388954974602565,0.559986295763274,0.654660345691264,1.23588345834545,0.773771906818551,1,-8065.41968208163
0,-0.00484064076511098,-0.0950574942647334,-0.104323550164333,-0.0342877416436909,-0.0793742227090058,-0.0861449617904533,-0.148673128748947,-0.0409764939042904,-0.0973074098278604,-0.0452076990305168,-0.131387841222234,-0.226548808731311,-0.0692963365141258,-0.221535020046302,-0.997604622288356,-1.22644976870161,-1.00157268490605,-1.14424618723967,-0.0124103009686403,-0.0886605615470258,-0.00990503064769009,-0.0561008588923652,2.95416984641222,-1.03092420741507,2.44496078184342,1.49342559676867,1.32746299276239,0.320944926335882,1.20178827044224,1.9540502429438,0.548845531266169,-0.37149246186965,1.25669025847278,1.74039361619222,3.66461011600883,1.74443827836458,0.389701730686462,0.555423614503321,0.642503270343456,1.23791542205026,0.781311728766084,1,-8063.92567956728
0,-0.00542966064099011,-0.0972125011935393,-0.102994749939732,-0.0346210537669174,-0.0817352155682686,-0.0878331577973365,-0.146161258958565,-0.0414584968689386,-0.103246545968302,-0.0445173006759846,-0.132754029905483,-0.231332883208889,-0.070351034612391,-0.22579376337294,-0.994618267272544,-1.21800484383274,-1.00213025140536,-1.13788799929517,-0.00995664597403431,-0.0896042945496877,-0.0102700231797909,-0.058908215618898,2.95493744344932,-1.025208564435,2.44655180967102,1.49329720617958,1.32688275864919,0.324010304098112,1.2007844867748,1.95719107869548,0.545524187216259,-0.374578896302854,1.26170197377579,1.74312029827243,3.66577690693935,1.74643082728801,0.390929712770534,0.551974745377311,0.630228686963031,1.24044517236571,0.79086145618435,1,-8062.37954799754
0,-0.008206977814344,-0.0916222489248292,-0.114932218750818,-0.033498646721284,-0.0939735691813363,-0.0879694502944212,-0.156487834541896,-0.040298840957232,-0.118987159762021,-0.0420095581447284,-0.115670250951164,-0.24302117844112,-0.0661107154760398,-0.248322659656652,-0.98311470128286,-1.18797812929557,-1.01088980353858,-1.1140147392075,-0.0187810176227372,-0.0846756821623267,-0.00972844615611156,-0.0605896992955057,2.95816613808098,-1.00042985739378,2.45342607445591,1.49242313383598,1.32444918432781,0.336891801447181,1.19647495705874,1.9714905966316,0.532196754600242,-0.387343136550674,1.2833155909407,1.75433793924025,3.67083411358265,1.75518768735187,0.397565198262159,0.543725815930867,0.591601844457865,1.25230876647984,0.830138005833469,1,-8062.15397640373
0,-0.00937691873631304,-0.0864888695022839,-0.114930608237854,-0.0342923248909377,-0.0971656383554059,-0.0836915900314536,-0.160934188548169,-0.0410523187683311,-0.121992586449813,-0.0431846170590708,-0.110163299895298,-0.246331562873891,-0.068672825486828,-0.257379213175349,-0.978794296033704,-1.17796487683049,-1.01497059283197,-1.10544361803992,-0.0225949093284986,-0.0903659145838374,-0.0102753373328936,-0.0600322460486165,2.95939491371979,-0.990759157385304,2.45610080550167,1.49205885882882,1.32333518574367,0.341808588009476,1.19479896729298,1.97729118022217,0.527333227943297,-0.392059663335524,1.29171834970072,1.75860120364341,3.67280557938122,1.75859084940433,0.400370799206257,0.542872951500612,0.579172144990329,1.25695748744562,0.844547083404794,1,-8060.91065157977
0,-0.00994696383179795,-0.0837387228705595,-0.113730785532826,-0.0341664465241596,-0.0918613743394855,-0.0787287842638076,-0.157598955052405,-0.0408285747011603,-0.112346986308628,-0.0426889214116988,-0.103033478756485,-0.244685659025401,-0.0677515417281409,-0.269009025468681,-0.971604090278036,-1.16949860105183,-1.02353631873276,-1.09550674484028,-0.0150405544309583,-0.0887992556368756,-0.0101418347167973,-0.0593530270127968,2.96128789679064,-0.975076410648002,2.4603667528857,1.49161799733414,1.321496011647,0.349291282849189,1.19204666981234,1.987065141353,0.520333930424206,-0.398995071952876,1.30520045121427,1.76537278442634,3.67598292799239,1.76407569290934,0.405538885643405,0.545101371307599,0.572704120044535,1.2641650266785,0.86165288374537,1,-8060.06823537411
0,-0.0107828686775368,-0.082097166230952,-0.100526370579051,-0.0334304882431269,-0.0932479990683909,-0.0769521901945781,-0.140236701177112,-0.0392433356529737,-0.115519619747384,-0.041971411776275,-0.102467123345294,-0.200162002169144,-0.0626826020797718,-0.254315711813825,-0.930987607933159,-1.14677157539749,-1.06869730472291,-1.05095852991722,-0.0187268265843989,-0.0835574733801678,-0.00933755720514029,-0.0587038950532007,2.97148441060006,-0.88549633512799,2.48429927196683,1.48834940691738,1.31046107308334,0.390335928670696,1.17671565750066,2.04388055737915,0.484513076073167,-0.434448916900837,1.38133019489146,1.80214610625164,3.69400155328219,1.79451858811282,0.436758590857271,0.568945678767226,0.584642702879804,1.3046189855767,0.926740750739855,1,-8057.43790072957
