"asc_a","asc_b","b_tt_pt_business","b_tt_pt_commuters","b_tt_pt_leisure","b_tt_pt_shopping","b_tt_car_business","b_tt_car_commuters","b_tt_car_leisure","b_tt_car_shopping","b_dc","b_tc_business","b_tc_commuters","b_tc_leisure","b_tc_shopping","b_ic_business","b_ic_commuters","b_ic_leisure","b_ic_shopping","b_hw_business","b_hw_commuters","b_hw_leisure","b_hw_shopping","b_bus_commuters","b_bus_leisure","b_bus_shopping","b_rail_business","b_rail_commuters","b_rail_leisure","b_rail_shopping","b_car_inertia","b_car_available","b_car_male","b_bus_disc","b_rail_disc","b_bus_ga","b_rail_ga","lam_dist_tt_pt_business","lam_dist_tt_pt_commuters","lam_dist_tt_pt_leisure","lam_dist_tt_pt_shopping","lam_dist_tt_car_business","lam_dist_tt_car_commuters","lam_dist_tt_car_leisure","lam_dist_tt_car_shopping","lam_dist_tc","lam_inc_tc_business","lam_inc_tc_commuters","mu_mc_car_bus","mu_mc_car_rail","mu_rc_bus","mu_rc_car","mu_rc_rail_by_car","mu_rc_rail","logLike"
0,-0.0259422156890112,-0.00589625141438507,-0.0191761106962731,-0.00570175723801757,-0.0312337751608105,-0.00263865877514448,-0.0232198711948686,-0.00410255188832097,-0.00966531177323825,-0.0165623838915933,-0.00346852674027683,-0.0229185321252626,-0.0124919068328567,-0.0332802330394797,0.0001515066861839,-0.0100483598839527,-0.00696695726839722,-0.00773339464032741,0.0001515066861839,-0.0100483598839527,-0.00696695726839722,-0.00773339464032741,0.000756164522345585,0.000912525820210575,0.00110269542365873,5.46155184376185e-05,-0.0108045243550026,-0.00787948309084462,-0.00883609010340669,0.0353298528216485,0.026357998031616,0.0142275189711977,0.00175850261762164,-0.00262763140510762,0.000582828744417764,0.0024690989674723,0.986838771995452,0.997894701754684,0.993043164170444,0.998755706378035,1.0088709518723,1.00228380011639,1.0034512155122,1.00033811167042,1.00481880090023,1.00014177969951,0.999791228347498,0.999980259437088,1.00870266195394,1.00000049604764,1.0004373839131,1.00052157720017,1,-10388.1732783574
0,-0.111491103540171,-0.0153971301552688,-0.00999574023237964,-0.00524668987750332,-0.0711203116188836,-0.0129204952967998,-0.0154107072750428,-0.003439472317732,-0.0716788542542737,-0.0578898668227417,-0.00538033801354724,0.00278848787236278,-0.0110948715271777,-0.141629071903372,0.00071265267196056,-0.0441227881376224,-0.030647582693563,-0.0328742778305522,0.00071265267196056,-0.0441227881376223,-0.030647582693563,-0.0328742778305523,0.0034401013525635,0.00413561238515008,0.00498122845015335,0.000276037766411954,-0.0475628892444882,-0.0347831951418373,-0.0378555064739555,0.154008506376511,0.114839051934195,0.0619793877699944,0.00796280631833884,-0.0107719426615918,0.00263013226813853,0.0103812914785357,0.941496133656462,0.989386121103554,0.96990847032054,0.992354909481472,1.04007521045231,1.01172361395299,1.01515778790995,1.00245138386451,1.01906345342734,1.00049092695257,0.998799604729704,0.999845488167601,1.04463122677036,1.00000087696162,1.00260185031884,1.00260615826859,1,-10107.5883072537
0,-0.137275804068273,-0.0146412927673145,0.00354599309251388,-0.00540622203694692,-0.0751413306988835,-0.0125066288708185,0.00746348556112392,-0.00415508218433554,-0.0809833266804083,-0.0509835519889521,-0.00471203597351392,-0.0202041304430611,-0.0109035419140559,-0.173108598239441,0.00106878509776027,-0.0562440012661383,-0.038518490638531,-0.0411348110556147,0.00106878509776027,-0.0562440012661382,-0.038518490638531,-0.0411348110556147,0.00466542410858742,0.00557246422770916,0.00665888611460252,0.000488272813586765,-0.0609094250568038,-0.044090954982921,-0.0477936974039188,0.197871475627855,0.145963432127904,0.0778362039105666,0.0107021141408792,-0.0119669116632313,0.00350779473547495,0.0139565487394958,0.92595519403119,0.986371883354747,0.961943968999718,0.989164934367924,1.05058234839771,1.01498923988594,1.01916500191778,1.00366331807467,1.02302452650169,1.00048434632602,0.998360041100916,0.999511368640107,1.06179804547067,0.99995795124623,1.00345251329088,1.00339586001934,1,-10072.2474130606
0,-0.144112948810547,-0.0148298985172653,0.00183378102004546,-0.00534656809552027,-0.068894728369253,-0.0132534599564331,0.00416868073311893,-0.0046196693943043,-0.0742458381919991,-0.0343981158523446,-0.00449756703613832,-0.0189025973553768,-0.0106215907460422,-0.181525974707665,0.00144657389656481,-0.0616675064216219,-0.0413971380812681,-0.0443371776129488,0.00144657389656481,-0.0616675064216218,-0.0413971380812681,-0.0443371776129489,0.00553107915867663,0.00656038970521143,0.00776378747503783,0.000774172181811921,-0.067198585238716,-0.0479575279549774,-0.0521009653417371,0.219739782320411,0.159773629043366,0.0837963105618262,0.0125587952270052,-0.0105936418272539,0.00407817406863469,0.0164118295332562,0.919443207258053,0.984864310583687,0.95859084443077,0.987150116638607,1.05479983656887,1.01619550388147,1.02079268656162,1.00430880439205,1.02324414559218,1.00036090264922,0.997999947428037,0.999004562770918,1.07385221119022,0.999884835706834,1.00380067594339,1.00383039067724,1,-10027.034202033
0,-0.138291174320107,-0.0151417910305969,-0.00119756363953255,-0.00533166024663065,-0.0265180873067864,-0.0133916207775611,0.00023440344449097,-0.00424157470468363,-0.0225531180688431,-0.0585049131594774,-0.00412477901879384,-0.0208470758260345,-0.0106593113484543,-0.184277538322098,0.00465910735411464,-0.0784941696498333,-0.0443910435823812,-0.0531002397152701,0.00465910735411464,-0.0784941696498332,-0.0443910435823812,-0.0531002397152702,0.0103572954731768,0.0119966554363769,0.0136039996652466,0.00351482437067355,-0.0888514646620284,-0.056387699217043,-0.0667042397537186,0.304706612366987,0.202698607845508,0.0948617638353868,0.0226221035689444,0.00806725120061338,0.00705354348495203,0.0304551190748038,0.903352259631562,0.977713962314395,0.948821361502534,0.978256223818797,1.06133390687962,1.02406576452183,1.02438421528931,1.00724879601645,1.01699080685794,0.999304722926707,0.996169961350106,0.994646188175554,1.13558762283759,0.999328090617358,1.00625738042438,1.00607508296646,1,-9926.18133769802
0,0.00154003919641327,-0.0144168751705001,-0.00637559014351867,-0.00521288571093947,-0.0373740515321713,-0.0129963970861902,-0.00784264709337266,-0.0042351671275224,-0.0499709701761038,-0.0753988856747539,-0.00397734039056999,-0.0211374704084207,-0.00930462080781844,-0.0141280138775561,0.0287742485854,-0.140114879052549,-0.028078980917015,-0.0861824759352968,0.0287742485853999,-0.140114879052549,-0.0280789809170151,-0.0861824759352974,0.0403238219560412,0.0449410727228199,0.0489404860774312,0.0247953522506007,-0.180438697929296,-0.073020054173376,-0.135122963210125,0.733364353712685,0.371047833537885,0.0977732245325574,0.0837972520071061,0.157667121833405,0.0250088400728955,0.121352590417098,0.89343859534059,0.938588448962643,0.905271736355045,0.927848466400253,1.01283824248765,1.08051434290685,1.03524460800082,1.03496617188246,0.954580350641358,0.991766833454418,0.985530970936154,0.965150635912509,1.47325527042457,0.995908413119625,1.00854618772585,1.01847428562778,1,-9714.29785554903
0,0.165032163490002,-0.0141067069752137,-0.00579929180025711,-0.00540644622140694,-0.0498918403699891,-0.0124874180714721,-0.00645164817597565,-0.0043059834699426,-0.060914241413661,-0.0606735289401852,-0.00484229784362467,-0.0193716585518084,-0.00839893578081201,-0.128204137713507,0.0552267527411652,-0.133832330450977,0.0268152284033247,-0.0908269088526348,0.0552267527411652,-0.133832330450976,0.0268152284033246,-0.0908269088526357,0.0669430020609356,0.0723193527996443,0.0799315170542018,0.0487429546570087,-0.200775326693855,-0.0455041255607764,-0.170758427902266,0.999977105718501,0.400167688624189,0.013317679581054,0.136307842056475,0.35475018836781,0.0407918427531151,0.218815663196411,0.889389375581286,0.91869022557934,0.869304865322724,0.910193352361915,0.956772463167692,1.12532225184495,1.03855795375036,1.02667042608844,0.91802559462776,0.985656024866638,0.976975563521628,0.941552157352231,1.63201384479908,0.994255356605898,1.00726802464357,1.03079733131626,1,-9565.75664622293
0,0.120771477587081,-0.015892856180146,-0.00621786148611243,-0.00511220468482984,-0.0514005210496458,-0.0143769463411553,-0.00632887644506808,-0.00399491646523692,-0.0634122803370029,-0.058879656973419,-0.00443767435051293,-0.0196777622681573,-0.00805653301964561,-0.117564644205859,0.0708876121181323,-0.104545815060826,0.0409967374041257,-0.0744075396952111,0.0708876121181323,-0.104545815060825,0.0409967374041256,-0.0744075396952125,0.0832783617103313,0.0865985804846009,0.10004673315526,0.062723509864896,-0.187824168719081,-0.0456018445877775,-0.17445427526033,1.11084684262049,0.380393001838056,-0.0603762539521151,0.167108876052902,0.478968652482098,0.0510758943852884,0.284222476382755,0.827662637980069,0.914510153519237,0.869133750437879,0.92437757486977,0.969824313670364,1.1498260954546,1.01970998627744,0.99563203748347,0.882648243072093,0.981061230146848,0.971044120132417,0.936344163428685,1.66996985727119,0.990914970444023,1.00102836324727,1.03520181327074,1,-9495.73823111161
0,-0.0362455158668572,-0.0129153171981727,-0.00731732586851387,-0.00471262877682466,-0.0363453065697252,-0.0107532975580127,-0.00756807939475034,-0.00394233269327797,-0.0499226329153711,-0.0574852651836673,-0.00502833534391369,-0.0187392955999922,-0.00696971525955146,-0.104491864119533,0.102031004015374,-0.0546160464311496,0.042368829887663,-0.0364196847291053,0.102031004015374,-0.0546160464311487,0.0423688298876628,-0.0364196847291075,0.116240723496042,0.114640492469597,0.142308506158767,0.0902861973457186,-0.170856757242585,-0.0722716658756988,-0.17872819495495,1.31974735530301,0.356911297429062,-0.182216705988463,0.229160605001747,0.694206010583527,0.072884067786989,0.417029944142842,0.845021717051601,0.901348390986072,0.85240899410326,0.959159110150862,0.839237414562276,1.20174506904302,0.988184620282427,0.927291060891457,0.80994005873479,0.9689803575677,0.957542471438006,0.93356230692899,1.70146899537415,0.98487274594385,0.994621597204494,1.04921099511948,1,-9451.82494116296
0,-0.0335043259483224,-0.0130526917944391,-0.00676365580184269,-0.00492883107315542,-0.0342609583101508,-0.0107667206098234,-0.00700492805021992,-0.004284465654386,-0.047499702342999,-0.0580495174034686,-0.00516658550048566,-0.0177679504983989,-0.0068519458596185,-0.0917315583352614,0.10990146088051,-0.0560888001293337,0.0362757448283323,-0.0222156742933112,0.10990146088051,-0.0560888001293328,0.0362757448283321,-0.0222156742933137,0.125494341627158,0.12282517424437,0.155759523969951,0.0969701644910929,-0.181583127772606,-0.0865494336225854,-0.177975203184434,1.34568682124773,0.359101492392305,-0.188953799889822,0.24690236556038,0.718074040223174,0.0801930097478379,0.453469343432683,0.817303398721047,0.904335228525282,0.81824091004282,0.967686856276156,0.8102971697607,1.20014940643242,0.998549954321291,0.908570591905317,0.815413820173541,0.967483253757202,0.952396680487025,0.939511441272777,1.67167267948365,0.984471525269968,1.00062312590128,1.05819261413041,1,-9436.64706366025
